"","X","City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal"
"1",1,"Montreal",1976,"Aquatics","Diving","3m springboard","KÖHLER, Christa","Women","GDR","East Germany","W","Silver"
"2",2,"Montreal",1976,"Aquatics","Diving","3m springboard","KOSENKOV, Aleksandr","Men","URS","Soviet Union","M","Bronze"
"3",3,"Montreal",1976,"Aquatics","Diving","3m springboard","BOGGS, Philip George","Men","USA","United States","M","Gold"
"4",4,"Montreal",1976,"Aquatics","Diving","3m springboard","CAGNOTTO, Giorgio Franco","Men","ITA","Italy","M","Silver"
"5",5,"Montreal",1976,"Aquatics","Diving","10m platform","WILSON, Deborah Keplar","Women","USA","United States","W","Bronze"
"6",6,"Montreal",1976,"Aquatics","Diving","10m platform","LOUGANIS, Gregory","Men","USA","United States","M","Silver"
"7",7,"Montreal",1976,"Aquatics","Diving","10m platform","VAYTSEKHOVSKAYA, Elena","Women","URS","Soviet Union","W","Gold"
"8",8,"Montreal",1976,"Aquatics","Diving","3m springboard","POTTER-MCINGVALE, Cynthia","Women","USA","United States","W","Bronze"
"9",9,"Montreal",1976,"Aquatics","Diving","10m platform","DIBIASI, Klaus","Men","ITA","Italy","M","Gold"
"10",10,"Montreal",1976,"Aquatics","Diving","10m platform","ALEINIK, Vladimir","Men","URS","Soviet Union","M","Bronze"
"11",11,"Montreal",1976,"Aquatics","Diving","10m platform","KNAPE-LINDBERGH, Ulrika","Women","SWE","Sweden","W","Silver"
"12",12,"Montreal",1976,"Aquatics","Diving","3m springboard","CHANDLER, Jennifer Kay","Women","USA","United States","W","Gold"
"13",13,"Montreal",1976,"Aquatics","Swimming","4x100m freestyle relay","BABASHOFF, Shirley Farber","Women","USA","United States","W","Gold"
"14",14,"Montreal",1976,"Aquatics","Swimming","400m freestyle","SHAW, Timothy Andrew","Men","USA","United States","M","Silver"
"15",15,"Montreal",1976,"Aquatics","Swimming","4x100m freestyle relay","PRIEMER, Petra","Women","GDR","East Germany","W","Silver"
"16",16,"Montreal",1976,"Aquatics","Swimming","1500m freestyle","HOLLAND, Stephen","Men","AUS","Australia","M","Bronze"
"17",17,"Montreal",1976,"Aquatics","Swimming","400m individual medley","SMIRNOV, Andrei","Men","URS","Soviet Union","M","Bronze"
"18",18,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","ANKE, Hannelore","Women","GDR","East Germany","W","Gold"
"19",19,"Montreal",1976,"Aquatics","Swimming","800m freestyle","BABASHOFF, Shirley Farber","Women","USA","United States","W","Silver"
"20",20,"Montreal",1976,"Aquatics","Swimming","800m freestyle","THÜMER, Petra","Women","GDR","East Germany","W","Gold"
"21",21,"Montreal",1976,"Aquatics","Swimming","4x100m freestyle relay","SMITH, Rebecca","Women","CAN","Canada","W","Bronze"
"22",22,"Montreal",1976,"Aquatics","Swimming","200m backstroke","ROCCA, Peter Drake","Men","USA","United States","M","Silver"
"23",23,"Montreal",1976,"Aquatics","Swimming","400m freestyle","GOODELL, Brian Stuart","Men","USA","United States","M","Gold"
"24",24,"Montreal",1976,"Aquatics","Swimming","400m individual medley","MCKEE, Alexander Timothy","Men","USA","United States","M","Silver"
"25",25,"Montreal",1976,"Aquatics","Swimming","4x100m medley relay","EVANS, Clayton","Men","CAN","Canada","M","Silver"
"26",26,"Montreal",1976,"Aquatics","Swimming","200m freestyle","MONTGOMERY, James Paul","Men","USA","United States","M","Bronze"
"27",27,"Montreal",1976,"Aquatics","Swimming","100m butterfly","VOGEL, Matthew Haynes","Men","USA","United States","M","Gold"
